timestamp,a,b,c,input,output
2020-01-01 00:00:00 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:01 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:02 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:03 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:04 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:05 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:06 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:07 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:08 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:09 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:10 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:11 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:12 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:13 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:14 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:15 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:16 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:17 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:18 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:19 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:20 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:21 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:22 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:23 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:24 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:25 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:26 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:27 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:28 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:29 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:30 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:31 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:32 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:33 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:34 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:35 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:36 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:37 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:38 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:39 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:40 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:41 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:42 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:43 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:44 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:45 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:46 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:47 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:48 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:49 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:50 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:51 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:52 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:53 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:54 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:55 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:56 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:57 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:58 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:00:59 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:00 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:01 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:02 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:03 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:04 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:05 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:06 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:07 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:08 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:09 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:10 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:11 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:12 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:13 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:14 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:15 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:16 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:17 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:18 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:19 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:20 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:21 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:22 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:23 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:24 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:25 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:26 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:27 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:28 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:29 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:30 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:31 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:32 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:33 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:34 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:35 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:36 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:37 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:38 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:39 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:40 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:41 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:42 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:43 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:44 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:45 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:46 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:47 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:48 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:49 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:50 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:51 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:52 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:53 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:54 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:55 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:56 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:57 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:58 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:01:59 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:02:00 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:02:01 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:02:02 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:02:03 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:02:04 UTC,+1,+1,+1,-0.5,+0.75
2020-01-01 00:02:05 UTC,+1,+1,+1,-0.5,+0.75
